;similar1;similar2;similar3;similar4;similar5
187981;251575.0;124048.0;276994.0;85240.0;96521.0
188799;117925.0;133225.0;231374.0;88187.0;34987.0
189005;183963.0;152696.0;212260.0;83880.0;94263.0
191881;105572.0;96521.0;127049.0;145161.0;125514.0
193350;81045.0;121592.0;276994.0;85240.0;96521.0
196493;276994.0;85240.0;98344.0;96521.0;94263.0
197000;125514.0;63665.0;276994.0;83880.0;96521.0
198355;152696.0;134596.0;201036.0;276994.0;83880.0
198547;98344.0;276994.0;85240.0;96521.0;94263.0
201036;151002.0;80516.0;1548.0;148863.0;218875.0
205145;154975.0;135170.0;243490.0;96521.0;94263.0
205979;70318.0;98344.0;96521.0;94263.0;93085.0
209163;252657.0;85240.0;98344.0;96521.0;94263.0
212260;127049.0;189005.0;183963.0;152696.0;230293.0
212568;276994.0;83880.0;96521.0;94263.0;93085.0
212986;276994.0;83880.0;96521.0;94263.0;93085.0
213708;86123.0;229742.0;94263.0;85616.0;127049.0
214641;80516.0;8801.0;151653.0;276994.0;91719.0
215143;276994.0;83880.0;96521.0;94263.0;93085.0
216724;212260.0;276994.0;83880.0;96521.0;94263.0
218831;276994.0;83880.0;96521.0;94263.0;93085.0
218875;144828.0;201036.0;212260.0;64679.0;91761.0
219722;276994.0;83880.0;96521.0;94263.0;93085.0
224635;276994.0;83880.0;96521.0;94263.0;93085.0
226297;276994.0;83880.0;96521.0;94263.0;93085.0
226394;127049.0;16943.0;276994.0;83880.0;96521.0
226462;80516.0;34987.0;44837.0;276994.0;96521.0
226554;100393.0;276994.0;96521.0;94263.0;93085.0
227054;55607.0;266807.0;276994.0;85240.0;96521.0
229742;242878.0;116582.0;103811.0;236399.0;213708.0
230293;170792.0;212260.0;82673.0;236399.0;86123.0
230496;254289.0;212260.0;136747.0;82955.0;73022.0
231374;105572.0;188799.0;253797.0;133225.0;276994.0
233738;96521.0;276994.0;100393.0;94263.0;93085.0
234734;276994.0;100393.0;96521.0;94263.0;93085.0
235113;276994.0;100393.0;96521.0;94263.0;93085.0
236399;103811.0;26598.0;50526.0;86123.0;229742.0
238246;7887.0;87051.0;138202.0;123543.0;130792.0
238489;156243.0;276994.0;85616.0;98344.0;96521.0
241597;259430.0;100393.0;154975.0;55607.0;116816.0
242544;25966.0;276994.0;85616.0;100393.0;98344.0
242878;229742.0;26598.0;144828.0;72100.0;276994.0
243490;154975.0;205145.0;85240.0;96521.0;94263.0
245311;151653.0;32329.0;259430.0;151002.0;9381.0
246216;111241.0;93085.0;276994.0;85240.0;96521.0
246483;276994.0;85240.0;98344.0;96521.0;94263.0
246528;68886.0;16943.0;85240.0;98344.0;96521.0
249732;103811.0;236399.0;26598.0;229742.0;276994.0
250764;8801.0;182931.0;56157.0;7887.0;276038.0
251362;260840.0;276994.0;85240.0;98344.0;96521.0
251575;187981.0;236399.0;276994.0;83880.0;94263.0
252657;209163.0;73022.0;85240.0;98344.0;96521.0
253482;162886.0;172119.0;133225.0;188799.0;276994.0
253797;231374.0;25966.0;276994.0;100519.0;98344.0
254289;230496.0;136747.0;83880.0;96521.0;94263.0
254417;83880.0;98344.0;96521.0;94263.0;93085.0
257495;144828.0;276994.0;85240.0;98344.0;96521.0
257625;123543.0;142861.0;154346.0;51826.0;88187.0
258151;94263.0;8801.0;23652.0;49314.0;68886.0
259430;100393.0;154975.0;241597.0;245311.0;55607.0
260781;276994.0;83880.0;98344.0;96521.0;94263.0
260840;80203.0;251362.0;276994.0;85240.0;98344.0
262407;20401.0;136747.0;32329.0;86123.0;140423.0
266807;55607.0;503.0;227054.0;85240.0;96521.0
272395;276994.0;83880.0;98344.0;96521.0;94263.0
273465;13682.0;127049.0;276994.0;85240.0;98344.0
275228;276994.0;83880.0;98344.0;96521.0;94263.0
275306;75429.0;94263.0;82808.0;276994.0;85240.0
276038;31950.0;112765.0;182931.0;7887.0;87051.0
276994;58168.0;85240.0;98344.0;96521.0;94263.0
