User-ID;No-Of-Ratings;Age
156150;1104;36.0
248718;1104;43.0
225810;1100;56.0
35857;1099;36.0
63714;1068;29.0
107784;1060;34.0
167800;1060;57.0
114414;1059;27.0
147847;1045;34.0
274061;1038;26.0
76499;1036;34.0
113519;1017;34.0
182987;1011;34.0
7346;1007;49.0
100906;1005;34.0
224349;1005;23.0
224764;1001;116.0
129074;995;51.0
252695;993;34.0
197659;980;49.0
211426;978;24.0
265313;962;33.0
187145;960;65.0
56856;959;23.0
127200;956;34.0
235842;952;41.0
131046;941;26.0
170229;933;56.0
157273;919;37.0
125692;914;28.0
78834;909;28.0
200226;908;39.0
124942;904;34.0
3363;901;29.0
6251;892;32.0
240144;881;34.0
195694;871;29.0
116599;863;29.0
101209;859;44.0
146113;852;34.0
228764;852;39.0
261829;852;32.0
217375;851;35.0
170518;850;61.0
264321;850;33.0
193560;849;37.0
203968;847;34.0
159033;843;46.0
69355;829;34.0
143253;828;27.0
173632;828;36.0
251422;828;23.0
262399;817;48.0
56271;816;22.0
6575;814;34.0
87746;810;52.0
225763;798;34.0
242006;796;30.0
104636;792;34.0
15408;787;34.0
21014;785;34.0
143175;783;28.0
32195;781;34.0
174791;777;38.0
185384;774;34.0
225986;774;36.0
26535;770;41.0
128835;770;60.0
81492;764;28.0
114368;761;33.0
258185;758;37.0
69042;754;55.0
249894;753;34.0
127359;751;33.0
77940;750;34.0
138844;748;40.0
32773;745;28.0
94347;744;44.0
37950;742;34.0
25981;740;34.0
219546;730;25.0
205735;727;26.0
258152;723;29.0
261105;718;50.0
49109;715;38.0
38023;710;30.0
13552;709;32.0
181176;709;43.0
243077;692;34.0
78973;690;29.0
28204;688;61.0
150124;686;30.0
180651;686;54.0
149908;683;29.0
33974;681;24.0
262998;679;34.0
210035;678;24.0
106225;677;38.0
133747;677;28.0
206534;675;34.0
55548;673;34.0
201526;672;25.0
30276;667;49.0
43842;665;34.0
68555;656;34.0
110912;653;36.0
46398;650;37.0
94923;647;40.0
268330;646;23.0
270713;643;27.0
101851;640;29.0
190708;638;43.0
194669;638;46.0
187517;636;28.0
129716;633;30.0
53174;631;29.0
254899;631;54.0
61619;624;34.0
107021;623;45.0
256407;619;58.0
69078;617;42.0
144531;617;37.0
29259;616;39.0
60277;614;34.0
69971;614;43.0
107951;614;34.0
186570;614;28.0
233911;610;41.0
31826;607;54.0
3757;605;34.0
112001;596;43.0
135045;592;29.0
72992;591;44.0
112026;589;17.0
173415;589;31.0
265889;587;30.0
206979;575;22.0
135265;573;32.0
16966;569;41.0
82893;567;40.0
59172;565;36.0
231857;565;46.0
24921;561;29.0
114988;560;37.0
156269;557;53.0
255489;556;34.0
125774;555;36.0
150968;555;47.0
212923;555;34.0
105979;554;26.0
130571;554;34.0
86243;552;34.0
167471;552;29.0
20115;551;32.0
115490;551;34.0
229551;551;28.0
210485;550;35.0
14521;548;34.0
51450;548;54.0
30711;547;32.0
39646;547;35.0
52853;541;61.0
125039;538;27.0
160819;538;43.0
227520;537;33.0
256167;536;14.0
258534;535;32.0
93085;533;34.0
126736;529;38.0
274004;528;41.0
114868;523;31.0
112881;522;18.0
136205;522;39.0
145619;521;36.0
203240;521;32.0
23872;520;22.0
138441;519;34.0
113983;517;39.0
49144;515;43.0
140000;511;34.0
89602;508;34.0
145451;508;63.0
120548;507;39.0
236757;507;34.0
242106;507;28.0
28591;505;33.0
225232;505;4.0
2276;498;46.0
29855;498;53.0
277427;497;48.0
179978;497;28.0
54218;493;27.0
221445;493;34.0
209516;489;57.0
38781;488;31.0
217121;488;43.0
122429;487;48.0
114865;486;97.0
32440;484;34.0
246617;481;27.0
235392;478;27.0
30533;477;34.0
247447;476;19.0
201290;475;35.0
236172;475;34.0
75860;474;30.0
91931;474;40.0
143415;474;50.0
183995;472;49.0
37712;471;23.0
145449;470;34.0
79186;469;37.0
69232;467;55.0
146348;466;34.0
251394;466;25.0
13273;465;34.0
95932;465;36.0
177072;465;47.0
48494;463;51.0
94853;461;27.0
113270;461;25.0
194600;461;51.0
269728;461;40.0
91832;460;34.0
52199;459;47.0
111947;457;30.0
123883;454;18.0
104665;453;30.0
196160;453;22.0
224138;453;34.0
76942;452;25.0
27617;451;32.0
208829;451;34.0
268932;450;38.0
16916;449;53.0
93363;445;30.0
263877;444;44.0
178181;443;32.0
151806;442;50.0
6543;441;34.0
17950;441;32.0
217740;441;37.0
268110;441;34.0
11993;438;37.0
136382;437;34.0
39281;435;45.0
162738;435;35.0
14422;434;34.0
136010;434;34.0
205473;434;32.0
101876;433;38.0
255218;432;46.0
209756;431;36.0
249862;431;34.0
217106;430;55.0
254498;430;34.0
98297;429;24.0
178667;428;34.0
252848;428;32.0
165319;427;28.0
222296;427;34.0
241198;427;34.0
75591;424;33.0
108285;424;22.0
170184;424;51.0
236340;424;29.0
252071;424;32.0
51386;423;41.0
85656;423;41.0
82831;422;21.0
223087;422;34.0
238557;422;21.0
165308;421;33.0
25409;420;31.0
85526;420;36.0
107301;419;31.0
246671;419;27.0
39467;415;35.0
210792;414;36.0
250405;412;55.0
266866;411;33.0
124487;410;34.0
168245;410;37.0
263460;410;31.0
269719;410;33.0
40889;409;37.0
209373;406;37.0
241548;406;44.0
100846;405;39.0
102702;404;34.0
110483;404;30.0
133567;404;57.0
152249;404;34.0
211919;404;38.0
226879;404;31.0
216683;402;34.0
30511;401;34.0
89891;401;34.0
203799;401;54.0
214786;401;34.0
216444;401;57.0
233917;401;38.0
7158;400;30.0
105517;400;28.0
242299;400;25.0
83637;399;57.0
131855;398;31.0
28523;397;24.0
88693;395;30.0
188010;395;34.0
49889;394;34.0
77809;394;29.0
234359;394;35.0
244349;394;40.0
229329;393;56.0
266865;393;33.0
149907;391;42.0
266056;391;47.0
212645;388;21.0
129851;387;35.0
36609;386;32.0
155147;386;60.0
216012;386;34.0
39616;383;38.0
162052;383;51.0
95193;382;69.0
52917;381;42.0
148258;380;34.0
164533;380;46.0
172512;378;25.0
260897;378;25.0
168387;377;32.0
173291;377;29.0
42400;376;34.0
55490;376;25.0
218552;376;48.0
84024;374;37.0
169233;374;27.0
268030;374;34.0
32721;372;36.0
212965;372;43.0
100459;370;38.0
122881;370;34.0
228681;370;34.0
8890;369;47.0
105374;366;25.0
147451;366;37.0
250764;366;34.0
206567;364;33.0
144131;362;39.0
65258;361;42.0
141493;360;44.0
238961;360;18.0
93629;359;54.0
8681;358;34.0
136252;357;33.0
179733;356;26.0
227705;356;36.0
26516;353;67.0
238864;353;32.0
41841;351;34.0
50225;351;34.0
161752;351;58.0
70415;350;57.0
88677;350;44.0
78553;349;40.0
247429;348;39.0
157247;346;48.0
208141;345;46.0
147965;344;34.0
173684;344;15.0
249628;344;51.0
163973;343;46.0
204591;343;30.0
38273;342;34.0
273979;342;20.0
55187;341;48.0
122793;341;46.0
182086;341;34.0
222050;341;45.0
59971;340;27.0
168064;340;34.0
115003;339;43.0
169663;339;34.0
67840;338;50.0
119575;338;30.0
251843;338;34.0
150979;337;34.0
164465;337;33.0
167349;337;33.0
253821;337;34.0
109574;335;50.0
189516;334;37.0
208406;334;30.0
4385;333;33.0
23288;333;34.0
95902;333;57.0
274301;333;41.0
30972;332;47.0
182993;332;40.0
197775;332;21.0
207246;332;28.0
191187;331;34.0
199772;331;34.0
264317;331;25.0
131675;330;36.0
109955;329;34.0
138073;329;31.0
229011;328;34.0
180586;327;34.0
180957;325;34.0
264082;325;42.0
165232;324;23.0
86202;323;26.0
201017;323;36.0
170513;322;34.0
81977;320;34.0
244688;320;26.0
44728;319;31.0
85757;319;40.0
79441;318;43.0
146230;318;49.0
160541;318;34.0
21252;317;28.0
102647;317;14.0
189973;317;34.0
12982;316;41.0
241980;316;35.0
141710;315;34.0
254;314;24.0
76818;314;49.0
52203;313;32.0
198699;313;49.0
235935;313;43.0
96448;312;34.0
131837;312;34.0
208671;312;34.0
8936;311;18.0
60707;311;38.0
170742;311;41.0
10819;310;27.0
250184;310;34.0
142454;309;33.0
55734;308;37.0
231827;308;32.0
70052;306;30.0
71712;306;26.0
124078;306;25.0
135458;306;24.0
224646;305;34.0
63394;304;22.0
85701;304;37.0
15418;303;23.0
106816;303;57.0
82511;302;34.0
92853;302;34.0
37567;301;36.0
62895;301;39.0
263163;301;26.0
239594;300;28.0
241666;300;35.0
155495;299;26.0
177432;299;33.0
187520;299;29.0
169699;298;40.0
170634;298;34.0
238526;298;34.0
156467;297;38.0
218608;297;31.0
113904;295;31.0
148199;295;50.0
73651;294;34.0
230496;294;34.0
245371;294;26.0
254971;294;53.0
94242;293;28.0
81560;291;34.0
135831;291;34.0
137589;291;35.0
236948;291;35.0
153621;290;29.0
236959;290;35.0
259629;290;51.0
163804;289;43.0
231237;289;34.0
247752;288;30.0
268032;288;34.0
24194;287;20.0
153563;287;34.0
170575;287;32.0
190459;287;40.0
193499;287;41.0
69808;286;34.0
222488;286;29.0
70594;285;53.0
164675;285;55.0
30735;284;34.0
51094;284;34.0
179744;284;26.0
238699;284;34.0
271705;284;25.0
250962;283;24.0
51350;282;34.0
25601;281;41.0
111174;281;34.0
128696;281;34.0
178950;281;34.0
253556;281;31.0
19664;280;19.0
151790;280;26.0
177090;280;37.0
251844;280;30.0
264637;280;24.0
164828;278;34.0
177690;277;27.0
192093;277;46.0
234597;277;34.0
271195;277;39.0
150498;276;38.0
174216;276;36.0
196502;276;38.0
203820;276;31.0
126492;275;31.0
2766;274;42.0
53628;274;22.0
85993;274;40.0
117539;274;30.0
174092;274;34.0
41700;273;42.0
62272;273;30.0
63938;273;34.0
85426;273;23.0
92979;273;34.0
147141;273;21.0
232945;273;28.0
26593;272;34.0
53729;272;34.0
66680;272;67.0
230249;271;34.0
239584;271;34.0
277639;270;48.0
20859;270;34.0
225199;270;54.0
242083;270;24.0
245410;270;28.0
69405;269;36.0
88283;269;24.0
92547;268;29.0
115002;268;34.0
222941;268;57.0
265595;268;31.0
129008;266;44.0
208410;266;23.0
13082;265;34.0
26583;265;34.0
44595;265;39.0
180348;265;40.0
16106;264;44.0
197364;264;30.0
204522;264;29.0
238541;264;34.0
108352;263;37.0
100644;262;26.0
110934;262;46.0
155219;262;29.0
170947;262;35.0
183196;262;33.0
216466;262;29.0
220278;262;32.0
95316;261;34.0
235282;260;43.0
198621;259;42.0
204167;259;30.0
255092;259;34.0
60337;258;50.0
80538;258;32.0
125519;258;40.0
129465;258;33.0
180917;258;50.0
242409;258;23.0
123625;257;22.0
127914;257;43.0
39773;256;49.0
86641;255;39.0
124079;255;24.0
141901;255;43.0
179772;254;37.0
201447;254;40.0
155014;253;34.0
18067;252;33.0
140036;252;35.0
211430;252;28.0
160032;251;34.0
38556;250;34.0
88937;250;39.0
133689;250;29.0
246513;250;23.0
264031;250;34.0
7286;249;28.0
31846;249;34.0
120093;249;59.0
210959;249;30.0
27647;248;34.0
124363;248;36.0
130554;248;34.0
28360;247;15.0
30487;247;40.0
199416;247;65.0
98758;246;25.0
139742;246;36.0
149069;245;30.0
149934;245;44.0
168464;245;11.0
96054;244;29.0
164027;244;34.0
223154;244;33.0
41084;243;36.0
47316;243;34.0
113817;243;25.0
139467;243;53.0
244736;243;23.0
271448;243;27.0
10447;242;34.0
137688;242;46.0
187256;242;34.0
196457;242;34.0
201674;242;28.0
208568;242;34.0
252820;242;33.0
92810;241;60.0
201768;241;47.0
19085;240;60.0
95903;240;27.0
152186;240;33.0
246156;240;32.0
114444;239;34.0
181687;239;29.0
62891;238;27.0
104399;238;29.0
123790;238;25.0
133571;238;39.0
145641;238;34.0
254206;238;31.0
259380;238;34.0
49460;237;37.0
87974;237;25.0
168144;237;46.0
30509;236;51.0
76223;236;25.0
82407;236;34.0
257028;236;31.0
138097;235;35.0
230708;235;43.0
266753;235;34.0
22625;234;54.0
102275;234;52.0
144555;234;37.0
229313;234;31.0
249111;234;34.0
76151;233;49.0
92652;233;32.0
159858;233;37.0
213150;233;103.0
2977;232;25.0
8245;232;31.0
81045;232;34.0
91203;232;30.0
134837;232;28.0
154992;232;40.0
177374;232;34.0
245645;232;34.0
6242;231;34.0
95991;231;28.0
104429;231;39.0
114178;231;30.0
224430;231;34.0
42914;230;26.0
190807;230;43.0
236058;230;34.0
245839;230;34.0
43806;229;31.0
159376;229;34.0
82926;228;34.0
163319;228;34.0
173835;228;53.0
207349;228;25.0
72352;227;49.0
80683;227;27.0
91342;227;29.0
21576;226;31.0
138578;226;38.0
154176;226;31.0
206074;226;16.0
89192;225;34.0
36907;224;39.0
209875;224;43.0
261037;224;34.0
94985;223;39.0
117251;223;34.0
133868;223;36.0
12824;222;18.0
109461;222;30.0
222204;222;42.0
226965;222;47.0
55892;221;45.0
121726;221;34.0
164323;221;31.0
267635;221;69.0
6563;220;31.0
137190;220;31.0
240568;220;34.0
270820;220;52.0
168047;219;28.0
205980;219;34.0
132083;218;47.0
140358;218;34.0
6323;217;35.0
145165;217;38.0
172888;217;57.0
7915;216;34.0
207499;216;34.0
208147;216;41.0
258938;216;27.0
259260;216;56.0
20201;215;31.0
143792;215;25.0
234721;215;34.0
252222;215;21.0
277478;214;31.0
126604;214;27.0
185308;214;34.0
256247;214;35.0
50730;213;34.0
64436;213;36.0
131027;213;31.0
238545;213;34.0
256402;213;34.0
225989;212;27.0
242646;212;34.0
4017;211;48.0
102359;211;34.0
125203;211;18.0
224435;211;24.0
229741;211;29.0
109901;210;59.0
141902;210;51.0
178199;210;34.0
15957;209;27.0
21659;209;31.0
35836;209;34.0
97874;209;34.0
201783;209;25.0
8067;208;26.0
13850;208;28.0
31391;208;38.0
35433;208;40.0
164096;208;29.0
183287;208;28.0
196047;208;55.0
257700;208;22.0
136139;207;34.0
142093;207;34.0
211847;207;27.0
269890;207;27.0
87143;206;53.0
107453;206;18.0
128208;206;34.0
153718;206;27.0
18401;205;34.0
101305;205;29.0
141819;205;34.0
207782;205;28.0
258690;205;34.0
95010;204;34.0
108005;204;29.0
157811;204;34.0
163761;204;37.0
187170;204;33.0
240567;204;33.0
50547;203;32.0
56360;203;35.0
83287;203;45.0
110214;203;45.0
151589;203;56.0
214272;203;42.0
246311;203;35.0
33145;202;30.0
88793;202;25.0
116122;202;31.0
260183;202;25.0
9856;201;22.0
28634;201;28.0
44296;201;26.0
59727;201;24.0
73681;201;27.0
155916;201;27.0
188951;201;24.0
268622;201;36.0
274808;201;17.0
26883;200;34.0
36554;200;48.0
83671;200;52.0
99955;200;14.0
225595;200;37.0
252827;200;36.0
193458;199;40.0
203017;199;32.0
240403;199;49.0
2033;198;27.0
8284;198;28.0
45557;198;33.0
68185;198;22.0
79942;198;26.0
133296;198;23.0
138198;198;37.0
163570;198;50.0
267061;198;34.0
278188;197;34.0
52350;197;31.0
98787;197;26.0
136348;197;51.0
151107;197;39.0
225996;197;20.0
269157;197;34.0
27462;196;34.0
30712;196;34.0
199025;196;34.0
43619;195;26.0
147224;195;41.0
259004;195;28.0
62755;194;50.0
124489;194;34.0
152354;194;34.0
160295;194;38.0
241614;194;20.0
21364;193;32.0
110076;193;52.0
170415;193;30.0
190741;193;52.0
193898;193;34.0
227250;193;32.0
244171;193;51.0
244994;193;34.0
55927;192;17.0
64241;192;43.0
86189;192;34.0
179718;192;39.0
9417;191;26.0
62881;191;39.0
90232;191;23.0
204359;191;40.0
276680;191;55.0
8253;190;26.0
57108;190;38.0
66942;190;31.0
106007;190;29.0
156214;190;59.0
169779;190;36.0
115234;189;32.0
120565;189;38.0
132836;189;57.0
141444;189;34.0
142121;189;33.0
158226;189;26.0
159440;189;27.0
171078;189;43.0
183958;189;57.0
242361;189;34.0
30273;187;25.0
37644;187;18.0
156300;187;49.0
214920;187;35.0
251140;187;25.0
259829;187;44.0
261641;187;52.0
56039;186;34.0
113467;186;37.0
146803;186;34.0
171970;186;34.0
226006;186;35.0
259901;186;34.0
61901;185;63.0
108773;185;57.0
146175;185;27.0
202173;185;29.0
250936;185;36.0
43910;184;43.0
134797;184;34.0
149084;184;32.0
166922;184;26.0
219259;184;34.0
247958;184;44.0
16155;183;47.0
80810;183;33.0
88122;183;30.0
180378;183;38.0
196738;183;39.0
33580;182;27.0
54828;182;34.0
59189;182;33.0
80555;182;20.0
137397;182;32.0
154346;182;24.0
179730;182;34.0
27788;181;34.0
48046;181;34.0
56554;181;39.0
67547;181;42.0
114216;181;34.0
161037;181;32.0
11629;180;21.0
53220;180;36.0
123095;180;34.0
142256;180;52.0
200978;180;41.0
202277;180;54.0
205943;180;43.0
211344;180;32.0
213316;180;32.0
240401;180;64.0
247055;180;25.0
31308;179;38.0
57006;179;30.0
96554;179;36.0
146564;179;43.0
175052;179;57.0
201684;179;24.0
263325;179;27.0
276018;179;33.0
36715;178;34.0
86835;178;34.0
127826;178;34.0
177180;178;39.0
180032;178;34.0
189139;178;40.0
244277;178;44.0
36299;177;50.0
73196;177;35.0
101606;177;32.0
196466;177;30.0
224525;177;18.0
13582;176;29.0
30824;176;45.0
124310;176;53.0
271245;176;34.0
9908;175;36.0
41227;175;40.0
93426;175;35.0
173481;175;69.0
181076;175;53.0
23571;174;41.0
214244;174;23.0
243745;174;38.0
267249;174;26.0
59150;173;37.0
78448;173;34.0
89014;173;34.0
126693;173;33.0
127129;173;34.0
243700;173;34.0
8971;172;27.0
19711;172;34.0
28938;172;38.0
36327;172;34.0
75081;172;29.0
123056;172;32.0
195469;172;39.0
219683;172;32.0
250330;172;34.0
32627;171;49.0
145431;171;33.0
242073;171;28.0
30810;170;34.0
37208;170;30.0
77480;170;51.0
92405;170;26.0
124597;170;38.0
129563;170;34.0
1903;169;36.0
75595;169;35.0
89307;169;61.0
165806;169;57.0
174830;169;34.0
182746;169;44.0
260944;169;34.0
2891;168;34.0
18172;168;36.0
25131;168;34.0
44845;168;29.0
97754;168;46.0
128085;168;40.0
158254;168;28.0
164905;168;29.0
214464;168;34.0
220240;168;34.0
259625;168;34.0
7125;167;28.0
10314;167;34.0
13093;167;29.0
31466;167;26.0
55493;167;35.0
80908;167;30.0
98647;167;26.0
129503;167;40.0
143163;167;26.0
144255;167;34.0
182053;167;30.0
198012;167;34.0
273086;167;33.0
49422;166;34.0
117111;166;30.0
275414;166;43.0
61028;165;50.0
62862;165;47.0
134247;165;26.0
183046;165;34.0
250510;165;34.0
48025;164;43.0
81848;164;35.0
105745;164;34.0
268833;164;40.0
2110;163;34.0
8066;163;34.0
28666;163;31.0
61147;163;44.0
76483;163;37.0
94951;163;37.0
131126;163;31.0
176667;163;23.0
243930;163;43.0
37538;162;34.0
69721;162;32.0
73923;162;29.0
100578;162;46.0
207721;162;39.0
244627;162;32.0
265591;162;34.0
272225;162;49.0
57449;161;29.0
87712;161;19.0
92861;161;34.0
178522;161;34.0
187065;161;34.0
203075;161;23.0
110746;160;59.0
132173;160;34.0
161974;160;25.0
172061;160;25.0
173018;160;34.0
186039;160;24.0
212467;160;62.0
31919;159;52.0
32122;159;24.0
67663;159;47.0
175329;159;34.0
182334;159;31.0
183340;159;34.0
27140;158;49.0
55178;158;25.0
91266;158;34.0
99227;158;34.0
105108;158;35.0
107244;158;50.0
163202;158;26.0
195116;158;27.0
214528;158;31.0
230030;158;36.0
249924;158;38.0
264657;158;23.0
34300;157;35.0
90766;157;34.0
114544;157;35.0
166824;157;34.0
240035;157;34.0
259378;157;46.0
1733;156;30.0
29915;156;38.0
58363;156;81.0
103304;156;44.0
110373;156;34.0
120908;156;27.0
126296;156;41.0
130438;156;38.0
163759;156;37.0
196985;156;34.0
254241;156;35.0
269321;156;49.0
273113;156;18.0
14232;155;23.0
16943;155;34.0
70065;155;19.0
111578;155;34.0
112083;155;25.0
138543;155;21.0
162155;155;57.0
183088;155;43.0
183187;155;48.0
184513;155;61.0
185176;155;37.0
251495;155;54.0
252865;155;30.0
265083;155;25.0
35407;154;48.0
96771;154;43.0
162590;154;34.0
176062;154;37.0
111847;153;38.0
132663;153;44.0
141491;153;47.0
192176;153;58.0
217318;153;34.0
223814;153;34.0
251339;153;46.0
259035;153;38.0
14638;152;33.0
83109;152;34.0
185771;152;39.0
233711;152;36.0
267033;152;34.0
41781;151;54.0
138995;151;47.0
149690;151;35.0
264525;151;17.0
27472;150;41.0
29526;150;26.0
53392;150;34.0
55858;150;28.0
86145;150;45.0
115435;150;30.0
117384;150;29.0
120598;150;34.0
161936;150;53.0
217986;150;35.0
249695;150;35.0
152514;149;61.0
160401;149;30.0
160681;149;28.0
184532;149;28.0
44893;148;34.0
86947;148;71.0
93147;148;31.0
106936;148;48.0
139141;148;35.0
147166;148;38.0
186547;148;55.0
211460;148;33.0
225886;148;35.0
226031;148;37.0
249407;148;22.0
251642;148;57.0
259057;148;15.0
266807;148;35.0
38281;147;33.0
91113;147;26.0
153054;147;20.0
157799;147;42.0
160558;147;28.0
170073;147;34.0
208019;147;34.0
5582;146;26.0
17859;146;43.0
125287;146;40.0
138602;146;36.0
155463;146;38.0
182442;146;34.0
206932;146;29.0
207148;146;42.0
250359;146;23.0
274111;146;34.0
5903;145;25.0
16488;145;36.0
38464;145;33.0
44925;145;33.0
60797;145;24.0
76482;145;103.0
95923;145;17.0
106988;145;52.0
109783;145;34.0
220688;145;27.0
253852;145;27.0
27812;144;33.0
33943;144;25.0
40012;144;44.0
70585;144;46.0
143211;144;34.0
196018;144;27.0
246247;144;29.0
46443;143;14.0
67079;143;35.0
68249;143;50.0
134434;143;25.0
150561;143;33.0
201365;143;50.0
203280;143;28.0
218568;143;41.0
273110;143;51.0
71739;142;34.0
105937;142;27.0
172248;142;35.0
194676;142;34.0
201641;142;19.0
204474;142;34.0
268657;142;20.0
271538;142;23.0
272715;142;31.0
29117;141;34.0
60569;141;41.0
71568;141;28.0
118434;141;23.0
218121;141;34.0
224108;141;34.0
6703;140;24.0
30716;140;23.0
36256;140;39.0
63956;140;28.0
72451;140;51.0
100088;140;26.0
104113;140;24.0
105028;140;22.0
178240;140;49.0
224809;140;61.0
42093;139;50.0
46351;139;27.0
59390;139;34.0
86033;139;26.0
98904;139;28.0
105795;139;24.0
119858;139;53.0
150896;139;30.0
151503;139;33.0
154070;139;38.0
163433;139;34.0
197550;139;40.0
229632;139;23.0
231393;139;28.0
268300;139;25.0
273718;139;32.0
24539;138;34.0
25436;138;30.0
53456;138;34.0
54898;138;35.0
59269;138;34.0
60858;138;25.0
66483;138;16.0
81128;138;44.0
81597;138;34.0
101550;138;29.0
102532;138;59.0
120090;138;34.0
136473;138;34.0
157594;138;34.0
274549;138;34.0
1424;137;34.0
31226;137;33.0
71470;137;62.0
84831;137;7.0
119248;137;12.0
173650;137;27.0
238065;137;27.0
183;136;27.0
14387;136;35.0
16161;136;28.0
25533;136;38.0
46909;136;31.0
81207;136;20.0
81609;136;57.0
105187;136;53.0
152946;136;25.0
201898;136;34.0
210822;136;36.0
223201;136;34.0
240543;136;67.0
75115;135;31.0
108405;135;49.0
119749;135;5.0
123608;135;17.0
213523;135;34.0
265834;135;51.0
276538;135;26.0
17282;134;38.0
123094;134;45.0
170595;134;34.0
213628;134;31.0
213915;134;29.0
223501;134;34.0
245312;134;51.0
264543;134;34.0
275020;134;34.0
278137;133;27.0
47971;133;40.0
60319;133;34.0
117594;133;26.0
165759;133;58.0
168036;133;34.0
173679;133;27.0
196106;133;34.0
207825;133;52.0
248221;133;62.0
270838;133;53.0
2442;132;25.0
48355;132;35.0
55075;132;33.0
67403;132;31.0
82164;132;46.0
93179;132;34.0
108155;132;29.0
118275;132;24.0
159390;132;36.0
169682;132;26.0
201042;132;34.0
209160;132;32.0
243360;132;34.0
244662;132;29.0
247852;132;34.0
264152;132;34.0
507;131;34.0
26813;131;28.0
114446;131;26.0
139387;131;30.0
151098;131;38.0
174892;131;34.0
216724;131;20.0
224904;131;27.0
241306;131;32.0
242465;131;36.0
263344;131;17.0
273190;131;71.0
30072;130;11.0
38589;130;36.0
104058;130;34.0
123460;130;31.0
143909;130;26.0
147686;130;34.0
189080;130;28.0
213126;130;34.0
223644;130;30.0
238179;130;34.0
255078;130;49.0
7105;129;34.0
8362;129;28.0
29209;129;34.0
67930;129;34.0
69378;129;46.0
75819;129;34.0
98686;129;32.0
112541;129;22.0
130570;129;34.0
134869;129;34.0
156534;129;26.0
161348;129;17.0
163307;129;24.0
218068;129;35.0
246776;129;21.0
270554;129;34.0
2358;128;23.0
69684;128;33.0
93092;128;22.0
121251;128;41.0
182414;128;25.0
199431;128;15.0
241204;128;23.0
250645;128;22.0
250709;128;34.0
269439;128;38.0
12835;127;38.0
14698;127;34.0
24945;127;22.0
31040;127;34.0
38802;127;23.0
58911;127;58.0
61667;127;44.0
77383;127;25.0
97160;127;34.0
100782;127;30.0
139913;127;54.0
176875;127;31.0
201548;127;29.0
204813;127;34.0
882;126;23.0
21404;126;34.0
50895;126;34.0
81368;126;28.0
105054;126;29.0
125411;126;43.0
132492;126;34.0
204964;126;24.0
215225;126;40.0
14079;125;41.0
64440;125;34.0
122716;125;30.0
140826;125;34.0
179826;125;22.0
240051;125;32.0
246000;125;20.0
8487;124;30.0
18082;124;38.0
80945;124;46.0
110267;124;39.0
129084;124;39.0
138883;124;16.0
171818;124;31.0
174848;124;34.0
209870;124;41.0
210717;124;42.0
244420;124;34.0
9747;123;34.0
27169;123;34.0
70666;123;18.0
112765;123;35.0
143968;123;39.0
154345;123;34.0
196108;123;34.0
199515;123;44.0
227836;123;30.0
272482;123;40.0
33818;122;29.0
55438;122;42.0
83707;122;31.0
108799;122;34.0
116931;122;24.0
158262;122;29.0
172760;122;29.0
176902;122;25.0
184401;122;55.0
191716;122;49.0
201969;122;34.0
266522;122;34.0
36003;121;26.0
50849;121;52.0
51526;121;34.0
57725;121;43.0
68156;121;34.0
100264;121;37.0
118533;121;37.0
154469;121;34.0
174326;121;38.0
240756;121;41.0
257327;121;39.0
259118;121;34.0
